Jakarta Surabaya Medan Makassar Semarang Palembang Banjarmasin Padang Manado Jayapura
0 8.3 14.2 12.3 4.5 5.5 11.2 9.2 19.5 32.1
8.3 0 16.8 6.2 5.1 10.8 7.8 15.5 17.2 28.9
14.2 16.8 0 20.1 13.9 8.7 19.5 3.8 23.4 35.7
12.3 6.2 20.1 0 9.8 14.1 5.5 18.9 8.7 21.4
4.5 5.1 13.9 9.8 0 7.2 8.9 11.7 16.8 29.6
5.5 10.8 8.7 14.1 7.2 0 12.4 4.9 21.2 33.8
11.2 7.8 19.5 5.5 8.9 12.4 0 17.2 12.1 24.7
9.2 15.5 3.8 18.9 11.7 4.9 17.2 0 22.1 34.5
19.5 17.2 23.4 8.7 16.8 21.2 12.1 22.1 0 15.9
32.1 28.9 35.7 21.4 29.6 33.8 24.7 34.5 15.9 0
